Data Type,File Format
Alteryx Database,.yxdb
Alteryx Calgary,.cydb
Alteryx Spatial Zip,.sz
Alteryx Web,.vlmn
ASCII,".flat, .asc"
Apache Hadoop Avro,.avro
Autodesk,.sdf
Comma Separated Value,.csv
dBase,.dbf
ESRI GeoDatabase,.gdb
ESRI Personal GeoDatabase,.mdb
ESRI Shapefile,.shp
Extensible Markup Language,.xml
GIS,.grd
GIS,.grc
Google Earth/Maps,.kml
IBM SPSS,.sav
JSON,.json
MapInfo Professional Interchange Format,".mid, .mif"
MapInfo Professional Table,.tab
Microsoft Access 2000-2003,.mdb
Microsoft Excel 1997-2003,.xls
"Microsoft Office Access 2007, 2010, 2013, 2016",.accdb
"Microsoft Excel 2007, 2010, 2013, 2016",.xlsx
Microsoft Excel Macro Enabled,.xlsm
Microsoft Office Excel - Legacy,.xlsx
Geography Markup Language,.gml
QlikView data eXchange,.qvx
SAS,.sas7bdat
SQLite,.sqlite
SRC Geography File,.geo
Tableau Data Extract,.tde
Text File Type,.txt
Zip archive,.zip