Team,Appearances,Winning Years,Winning Percent
Anaheim Angels,1,2002,100%
Arizona Diamondbacks,1,2001,100%
Atlanta Braves,5,1995,20%
Baltimore Orioles,6,"1966,1970,1983",50%
Boston Americans,1,1903,100%
Boston Braves,2,1914,50%
Boston Red Sox,11,"1912,1915,1916,1918,2004,2007,2013",64%
Brooklyn Dodgers,7,1955,14%
Brooklyn Robins,2,,0%
Chicago Cubs,11,"1907,1908,2016",27%
Chicago White Sox,5,"1906,1917,2005",60%
Cincinnati Reds,9,"1919,1940,1975,1976,1990",56%
Cleveland Indians,6,"1920,1948",33%
Colorado Rockies,1,,0%
Detroit Tigers,11,"1935,1945,1968,1984",36%
Florida Marlins,2,"1997,2003",100%
Houston Astros,2,2017,50%
Kansas City Royals,4,"1985,2015",50%
Los Angeles Dodgers,10,"1959,1963,1965,1981,1988",50%
Milwaukee Braves,2,1957,50%
Milwaukee Brewers,1,,0%
Minnesota Twins,3,"1987,1991",67%
New York Giants,14,"1905,1921,1922,1933,1954",36%
New York Mets,5,"1969,1986",40%
New York Yankees,40,"1923,1927,1928,1932,1936,1937,1938,1939,1941,1943,1947,1949,1950,1951,1952,1953,1956,1958,1961,1962,1977,1978,1996,1998,1999,2000,2009",68%
Oakland Athletics,6,"1972,1973,1974,1989",67%
Philadelphia Athletics,8,"1910,1911,1913,1929,1930",63%
Philadelphia Phillies,7,"1980,2008",29%
Pittsburgh Pirates,7,"1909,1925,1960,1971,1979",71%
San Diego Padres,2,,0%
San Francisco Giants,6,"2010,2012,2014",50%
St. Louis Browns,1,,0%
St. Louis Cardinals,19,"1926,1931,1934,1942,1944,1946,1964,1967,1982,2006,2011",58%
Tampa Bay Rays,1,,0%
Texas Rangers,2,,0%
Toronto Blue Jays,2,"1992,1993",100%
Washington Senators,3,1924,33%