LANGUAGE,VARIABLETYPE,HOLIDAY MESSAGES
English,Corporate,"At this special time of year, we want to take a moment to thank you for your dedication to our company. Happy Holidays!"
English,Corporate,Best wishes for a happy holiday season and our sincere appreciation for your loyalty throughout the year.
English,Corporate,Happy Holidays! Your hard work and dedication are appreciated. Thank you so much for everything you do to make us so successful.
English,Family and Friends,Let the spirit of love gently fill our hearts and homes. In this loveliest of seasons may you find many reasons for happiness. Happy Holidays!
English,Family and Friends,They say that friends are the family you choose. I'm so glad to get to spend some time with my chosen family this holiday season.
English,Family and Friends,It's been a pleasure getting to know you this year. May the holiday season gift you and your loved ones with joy and happiness. Happy Holidays!
Portuguese,Corporate,Obrigado por sua dedicacao todos esses dias em nossa empresa. Que neste Natal voce encontre o que mais deseja ao lado de familiares e amigos!
Portuguese,Corporate,"A sua produtividade nos surpreendeu positivamente! Neste Natal, que voce aproveite o seu merecido descanso, pois esperamos por voce ano que vem."
Portuguese,Corporate,"Hoje queremos agradecer sua dedicacao e o excelente trabalho executado! Boas Festas e que seu fim de ano seja de paz, amor e saude."
Portuguese,Family and Friends,"Neste Natal, envio para voce o maior presente de todos: muita luz e esperanca no coracao. Boas festas!"
Portuguese,Family and Friends,"Pedi para que o Papai Noel te entregasse o melhor dos presentes neste dia: muita saude, amor e felicidade para todo o ano! Um Feliz Natal!"
Portuguese,Family and Friends,"A felicidade de ter a presenca da familia unida e feliz, nao so no Natal, supera qualquer presente que possa estar debaixo da arvore."
Spanish,Corporate,Espero que en esta Navidad Dios los bendiga mucho no solo a ustedes sino tambien a sus queridas familias.
Spanish,Corporate,Eres lo mas valioso para nosotros. ¡Esperamos contar contigo durante muchas Navidades mas! ¡Felices Fiestas! 
Spanish,Corporate,"¡Jo, Jo, Jo! Se acerca la epoca navidena y queremos decirte lo feliz que nos hace tenerte a nuestro lado. ¡Esperamos que pases una hermosa Navidad!"
Spanish,Family and Friends,Que tus suenos y metas sean logrados. Espero que sepas que puedes ver un amigx en mi que te ayudara a alcanzar tus suenos. ¡Feliz Navidad!
Spanish,Family and Friends,"¡Que esta Navidad este llena de bendiciones, buenos momentos y ademas que la pases rodeadx de quienes mas quieres! Felices Fiestas!"
Spanish,Family and Friends," ¡Feliz Navidad! Espero que la vida te llene de bendiciones, espero verte alcanzar todos tus suenos. Gracias por ser una persona de luz en mi vida."
French,Corporate,"Nous vous souhaitons le bonheur, la sante, et le succes pour la nouvelle annee. Joyeuses Fetes !"
French,Corporate,"En notre nom et celui de toute l’equipe, nous vous offrons a vous et a votre famille nos meilleurs vœux de bonheur pour la saison des fetes !"
French,Corporate,"Que cette nouvelle annee vous apporte la joie, la sante, le bonheur et la prosperite. Meilleurs vœux !"
French,Family and Friends,Nous vous adressons nos meilleurs vœux pour Noel et la nouvelle annee. Joyeuses Fetes !
French,Family and Friends,Que la paix et le bonheur de Noel remplissent vos coeurs. Je souhaite que vos reves se realisent. Joyeuses Fetes !
French,Family and Friends,"Noel apporte les plus beaux cadeaux de la vie : le bonheur, la joie et l’amour. Je te souhaite une excellente journee de Noel, sante et bonheur."
Japanese,Corporate,年に一度のこの特別な時期に、日頃のこ愛顧に心からの感謝を申し上けます。 ハッヒーホリテー！
Japanese,Corporate,ハッヒーホリテー！ 日頃の努力と献身誠にありかとうこさいます。 私たちの成功に多大なお力添えを頂き、深く感謝いたします。
Japanese,Corporate,あなたとあなたのこ家族にとって幸せなホリテーシースンてありますように！あなたを組織の一員として迎えることかてきたことに感謝します。
Japanese,Family and Friends,友人は自分て選ふことかてきる家族のような存在てす. このホリテーシースンに、自分か選んた家族と一緒に過こすことかてきることに感謝します。
Japanese,Family and Friends,あなたに会えるたけて、ホリテー シースンのストレスをすへて発散することてきます。 休日を喜ひと愛て満たしてくれてありかとう。
Japanese,Family and Friends,あなたとあなたの愛する人たちの、健康、幸福、繁栄を心から願っています。
Japanese,Family and Friends,あなたに会えるたけて、ホリテー シースンのストレスをすへて発散することてきます。 休日を喜ひと愛て満たしてくれてありかとう。
Japanese,Family and Friends,あなたとあなたの愛する人たちの、健康、幸福、繁栄を心から願っています。