CLUB,"60MPH","70MPH","80MPH","90MPH","100MPH","110MPH","120MPH","130MPH","140MPH","150MPH"
Driver,155,181,206,232,258,284,310,335,361,385
3-wood,130,150,175,195,215,238,259,283,303,318
5-wood,125,145,165,185,205,225,245,265,285,305
Hybrid,120,140,160,180,200,220,240,260,280,300
2-iron,118,135,155,176,194,213,233,252,271,292
3-iron,115,130,150,172,188,207,226,245,265,284
4-iron,110,126,145,165,180,190,208,226,245,264
5-iron,105,120,138,155,170,185,198,215,228,247
6-iron,100,115,130,145,165,175,185,195,208,219
7-iron,95,105,120,135,155,165,175,185,195,210
8-iron,85,100,115,130,145,155,165,175,190,202
9-iron,80,90,105,120,130,145,160,175,186,197
Pitching Wedge,73,85,100,110,120,135,145,156,167,179